Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Cluster
South Korea,2024,Grains & Cereals,38427.68,31258.66,92.89,952.23,40.69,1
Germany,2023,Bakery Items,33550.41,32946.48,193.85,1333.3,55.02,1
Australia,2020,Beverages,45243.85,37828.94,47.21,559.57,50.34,1
UK,2023,Meat & Seafood,30022.09,24487.08,92.64,1278.03,54.63,1
Argentina,2019,Prepared Food,49481.61,51126.24,95.46,1281.78,59.3,1
Australia,2022,Grains & Cereals,13313.78,13273.68,140.85,183.45,41.34,0
UK,2021,Frozen Food,33936.66,31082.9,24.93,1234.55,66.51,1
Russia,2020,Prepared Food,26418.47,24820.06,85.69,1257.32,65.04,1
Mexico,2021,Frozen Food,25204.06,22725.56,65.79,1196.99,60.76,0
Japan,2022,Prepared Food,3891.4500000000007,4059.290000000001,183.91,160.01,43.77,0
Canada,2024,Frozen Food,29007.66,28622.38,34.53,1327.02,56.87,1
Mexico,2021,Meat & Seafood,32727.8,37447.1,100.48,261.12,39.04,1
Italy,2023,Dairy Products,46189.14,42351.8,150.95,253.83,33.01,1
Saudi Arabia,2024,Fruits & Vegetables,1104.5600000000013,1300.1399999999994,134.77,906.42,37.85,0
Mexico,2021,Prepared Food,41701.22,42629.63,154.95,850.56,64.4,1
Turkey,2022,Prepared Food,11484.88,10827.65,196.26,39.26,63.03,0
Indonesia,2021,Beverages,23043.63,22714.51,167.69,477.21,56.08,0
Turkey,2024,Frozen Food,49640.44,43002.21,147.97,1199.99,66.46,1
Japan,2019,Frozen Food,47373.71,50237.28,122.91,1333.29,56.63,1
China,2021,Dairy Products,16464.38,18670.32,37.64,1184.69,48.42,0
Germany,2024,Fruits & Vegetables,26111.99,21589.27,168.69,1172.25,50.31,0
Turkey,2022,Grains & Cereals,29147.18,33953.62,131.16,1317.63,44.8,1
Saudi Arabia,2023,Dairy Products,12894.18,13051.48,160.37,418.74,46.87,0
Italy,2018,Fruits & Vegetables,24353.78,26604.16,188.03,430.09,31.28,1
Germany,2023,Prepared Food,46296.01,45513.35,53.07,754.61,34.16,1
Indonesia,2023,Prepared Food,35998.11,32227.85,69.8,672.05,48.3,1
India,2024,Bakery Items,19940.67,16685.0,69.49,1246.79,54.64,0
Mexico,2019,Dairy Products,20682.45,18331.22,75.79,789.69,66.86,0
India,2024,Beverages,25894.46,23584.07,85.66,1317.81,64.46,0
Japan,2024,Grains & Cereals,6206.669999999998,5227.0999999999985,109.03,1303.51,63.17,0
UK,2023,Prepared Food,6158.59,5344.529999999999,52.96,271.03,39.15,0
South Korea,2018,Dairy Products,2995.2700000000004,3247.6100000000006,47.23,592.16,49.19,0
Indonesia,2018,Frozen Food,22227.76,24684.1,186.41,378.43,34.27,0
South Korea,2021,Grains & Cereals,37912.85,31508.32,147.55,1208.19,62.76,1
France,2023,Prepared Food,45216.87,53291.62,199.27,1258.49,66.59,1
Saudi Arabia,2020,Meat & Seafood,6000.3499999999985,6335.630000000001,119.75,936.97,47.09,0
China,2019,Grains & Cereals,11699.76,13226.55,139.02,143.06,54.19,0
Saudi Arabia,2021,Prepared Food,34919.42,40964.21,196.62,343.21,35.32,1
UK,2023,Beverages,37270.62,43998.68,148.18,459.9,41.16,1
Spain,2018,Beverages,30435.06,28495.47,131.24,876.44,39.94,1
Canada,2021,Beverages,29977.13,30214.94,92.79,330.05,46.49,1
Indonesia,2024,Meat & Seafood,41624.99,42883.64,88.01,674.31,45.05,1
France,2022,Fruits & Vegetables,23626.74,24156.13,198.38,745.17,66.68,0
Germany,2022,Beverages,48456.51,42311.26,191.89,370.23,57.62,1
Italy,2023,Beverages,11714.16,10116.000000000002,103.42,918.9,31.39,0
Australia,2023,Beverages,3628.5,4199.040000000001,100.92,654.55,59.03,0
Saudi Arabia,2020,Frozen Food,5522.93,4526.3499999999985,179.95,425.27,32.98,0
UK,2019,Frozen Food,5222.790000000001,5146.970000000001,39.16,1388.73,60.69,0
India,2018,Prepared Food,24858.69,21034.4,156.15,1057.39,58.01,0
Mexico,2018,Meat & Seafood,49002.55,39733.88,69.3,1280.4,66.77,1
Brazil,2022,Fruits & Vegetables,37440.24,33827.9,94.17,953.06,45.73,1
Brazil,2023,Bakery Items,30854.25,28373.57,115.04,747.57,51.99,1
Italy,2024,Meat & Seafood,46852.8,55386.73000000001,139.02,24.51,62.87,1
Saudi Arabia,2022,Meat & Seafood,11318.5,12341.11,64.35,1018.05,69.02,0
Turkey,2021,Beverages,40184.32,39105.55,152.14,377.45,54.3,1
Japan,2023,Fruits & Vegetables,2192.540000000001,2459.510000000002,181.4,705.89,58.22,0
Argentina,2023,Frozen Food,27521.46,25452.38,176.44,1116.1,50.88,1
Argentina,2021,Grains & Cereals,33487.17,37702.25,86.33,1025.88,30.78,1
USA,2024,Prepared Food,35924.32,30004.9,192.56,1109.32,42.27,1
Argentina,2019,Meat & Seafood,43465.47,42742.96,129.35,889.88,45.22,1
Spain,2024,Meat & Seafood,33791.28,31479.67,65.9,219.46,30.43,1
Indonesia,2023,Meat & Seafood,48216.19,51593.84,151.14,353.04,56.75,1
France,2024,Frozen Food,1314.0600000000013,1332.6399999999994,128.69,1082.83,40.81,0
Brazil,2018,Dairy Products,21847.0,20986.45,84.77,846.22,34.63,0
Saudi Arabia,2024,Prepared Food,37050.71,38365.47,196.14,116.66,67.64,1
France,2020,Beverages,41479.3,45051.73,157.4,53.57,39.76,1
France,2020,Bakery Items,24927.16,21789.99,48.66,597.02,63.44,0
Argentina,2020,Fruits & Vegetables,48169.18,53898.55,60.39,1231.31,31.7,1
Brazil,2023,Prepared Food,16972.96,14320.65,99.26,165.4,34.47,0
Spain,2023,Dairy Products,13937.28,15512.11,108.3,27.87,40.63,0
Germany,2019,Beverages,23004.2,19818.33,76.51,199.6,48.01,0
UK,2018,Prepared Food,10099.58,10925.71,145.46,1363.87,58.7,0
Japan,2024,Dairy Products,47567.09,46165.99,94.32,32.61,65.82,1
South Africa,2024,Fruits & Vegetables,16963.98,19065.76,193.04,1268.4,35.61,0
Spain,2021,Frozen Food,30672.66,31614.27,20.47,470.41,53.25,1
Russia,2022,Meat & Seafood,38383.37,42044.15,140.83,515.01,69.26,1
Argentina,2022,Dairy Products,8037.700000000001,8365.370000000003,196.29,880.47,38.36,0
Spain,2019,Bakery Items,24425.55,26942.73,54.77,966.95,58.71,1
USA,2021,Bakery Items,34908.96,40850.93,121.91,237.19,40.3,1
India,2022,Frozen Food,11629.26,11829.8,64.13,716.37,32.13,0
China,2020,Meat & Seafood,6880.380000000001,7585.369999999999,71.67,1387.28,39.9,0
Canada,2018,Frozen Food,1325.369999999999,1513.380000000001,154.74,221.32,31.13,0
Indonesia,2024,Frozen Food,3567.4199999999983,3713.7700000000004,51.71,255.85,57.8,0
Brazil,2019,Dairy Products,8646.04,10179.33,132.05,73.19,34.38,0
UK,2021,Beverages,41619.64,44143.49,72.03,108.81,47.02,1
UK,2020,Bakery Items,10908.22,11660.55,45.21,567.83,31.92,0
Saudi Arabia,2022,Grains & Cereals,42281.31,42664.53,35.36,994.35,49.71,1
Germany,2020,Fruits & Vegetables,1474.1500000000015,1540.5699999999997,196.14,105.89,58.28,0
UK,2018,Meat & Seafood,5636.299999999999,5593.439999999999,34.72,911.69,58.77,0
Turkey,2020,Meat & Seafood,23475.18,20967.94,44.9,333.9,46.26,0
Russia,2019,Fruits & Vegetables,27030.65,27392.4,169.05,919.96,51.55,1
India,2023,Meat & Seafood,43446.92,47096.44,35.45,16.15,54.82,1
South Africa,2019,Grains & Cereals,34585.58,33098.13,132.07,1354.57,34.25,1
South Africa,2020,Beverages,20690.04,17002.44,92.56,1201.73,60.67,0
Australia,2023,Bakery Items,35899.52,36123.81,127.57,503.69,64.55,1
China,2024,Dairy Products,41094.36,42324.94,81.2,760.09,61.26,1
USA,2022,Bakery Items,48642.96,50037.63,57.61,1105.55,51.9,1
USA,2020,Dairy Products,10517.37,11093.88,77.33,65.06,64.77,0
USA,2020,Dairy Products,19143.4,18627.53,199.02,544.66,39.94,0
Saudi Arabia,2023,Prepared Food,31798.5,27380.38,45.11,462.38,31.35,1
Germany,2018,Beverages,6860.689999999999,7700.459999999999,104.38,495.94,54.16,0
Brazil,2018,Beverages,49122.58,51296.9,99.49,539.04,63.8,1
Canada,2020,Bakery Items,40262.79,41152.89,58.15,816.23,52.71,1
Germany,2022,Beverages,14791.28,16497.72,159.67,667.57,58.89,0
Turkey,2023,Frozen Food,6743.260000000002,6479.619999999999,55.33,1118.23,44.54,0
USA,2019,Dairy Products,4194.060000000001,3640.510000000002,187.66,337.53,48.65,0
Spain,2023,Beverages,46787.67,50857.0,53.42,663.44,69.02,1
Argentina,2024,Fruits & Vegetables,34377.5,29795.03,119.44,790.96,30.6,1
Turkey,2023,Bakery Items,23215.07,23317.07,195.51,669.66,35.83,0
Turkey,2022,Prepared Food,43199.69,47597.87,60.43,1077.09,51.84,1
UK,2023,Bakery Items,8030.169999999998,7356.130000000001,76.42,454.39,50.03,0
Japan,2021,Bakery Items,6814.57,6646.619999999999,55.24,336.87,31.51,0
France,2024,Bakery Items,3959.239999999998,4269.630000000001,107.29,987.09,33.89,0
Saudi Arabia,2024,Meat & Seafood,7049.169999999998,7695.970000000001,136.52,643.09,41.24,0
Italy,2019,Grains & Cereals,4927.290000000001,5656.689999999999,114.23,405.74,67.03,0
Australia,2021,Grains & Cereals,38211.0,45495.03,181.25,1369.27,40.3,1
South Korea,2024,Dairy Products,5058.239999999998,4824.18,144.75,1382.05,63.4,0
Brazil,2022,Prepared Food,36132.58,36878.62,116.97,999.12,37.92,1
Canada,2020,Bakery Items,578.5800000000017,646.4599999999991,94.43,534.07,37.47,0
UK,2021,Fruits & Vegetables,24046.92,22580.75,46.84,26.69,36.81,0
Japan,2024,Beverages,40854.18,40444.58,68.81,47.02,49.97,1
Indonesia,2023,Beverages,32931.8,37000.2,24.98,358.18,44.08,1
South Africa,2024,Grains & Cereals,23137.63,27294.6,173.68,808.33,34.76,0
Argentina,2021,Beverages,3088.3499999999985,2809.9799999999996,179.07,391.35,42.48,0
Italy,2023,Fruits & Vegetables,31130.27,36622.71,139.05,415.19,60.61,1
Brazil,2019,Fruits & Vegetables,31515.32,37428.53,179.92,1274.45,36.63,1
India,2018,Bakery Items,41159.8,38825.97,81.6,835.23,31.24,1
Canada,2022,Dairy Products,40267.47,39933.88,171.17,844.93,42.93,1
Mexico,2019,Dairy Products,20750.01,20032.02,32.25,960.19,47.99,0
China,2019,Bakery Items,8381.260000000002,7150.57,132.06,1307.9,37.53,0
Saudi Arabia,2022,Grains & Cereals,25689.2,27161.16,190.25,722.25,41.02,1
Brazil,2020,Prepared Food,15808.38,16825.54,194.85,1098.0,33.16,0
South Africa,2022,Meat & Seafood,3751.1899999999987,3403.5,112.55,600.38,69.47,0
Argentina,2020,Prepared Food,15333.15,13655.73,32.53,599.9,65.49,0
Australia,2020,Fruits & Vegetables,45456.99,47399.77,105.52,897.68,54.38,1
USA,2022,Meat & Seafood,12712.22,11265.97,31.29,1167.45,48.77,0
Argentina,2019,Grains & Cereals,48904.89,57120.770000000004,186.51,94.54,35.42,1
Turkey,2018,Fruits & Vegetables,38921.02,38773.26,130.39,1205.11,60.75,1
Canada,2024,Meat & Seafood,6167.66,6479.290000000001,165.44,1190.31,62.48,0
Japan,2020,Prepared Food,3471.380000000001,3642.0600000000013,162.64,1201.95,52.96,0
Saudi Arabia,2020,Grains & Cereals,36432.74,38640.08,160.6,790.29,42.47,1
South Korea,2019,Frozen Food,19231.85,16773.79,70.91,1235.48,56.95,0
South Korea,2018,Bakery Items,4198.48,4740.459999999999,183.39,802.23,56.39,0
South Korea,2019,Frozen Food,48375.92,54885.58,111.57,87.25,41.21,1
Russia,2020,Frozen Food,23721.0,27890.37,55.83,308.82,69.52,1
Spain,2022,Fruits & Vegetables,49893.96,42739.19,123.54,446.97,62.03,1
France,2023,Grains & Cereals,42544.59,39659.69,97.09,58.21,65.41,1
France,2023,Bakery Items,15275.97,13016.74,39.68,640.22,60.68,0
Australia,2021,Meat & Seafood,3714.4399999999987,3261.3100000000013,170.97,232.56,37.18,0
France,2022,Dairy Products,739.5,763.4500000000007,172.65,673.21,59.47,0
Turkey,2021,Meat & Seafood,32933.1,26687.76,174.87,367.32,45.48,1
USA,2018,Grains & Cereals,25308.57,30171.15,66.16,1015.59,34.48,1
Italy,2022,Prepared Food,16593.43,16794.72,40.0,18.13,58.34,0
South Africa,2019,Bakery Items,49576.05,40382.72,104.51,173.02,44.08,1
India,2020,Dairy Products,4364.470000000001,4652.610000000001,169.33,267.81,51.78,0
Brazil,2021,Prepared Food,24385.74,25811.86,54.04,1061.4,65.2,0
France,2023,Dairy Products,16869.71,14181.75,157.22,874.04,37.1,0
Brazil,2023,Meat & Seafood,21397.48,18490.31,177.98,956.45,45.71,0
South Korea,2019,Fruits & Vegetables,39896.88,34365.58,92.78,744.95,69.4,1
South Africa,2018,Grains & Cereals,11229.86,9641.069999999998,175.21,831.35,31.32,0
Spain,2023,Frozen Food,9716.22,10604.28,149.42,963.75,41.6,0
China,2024,Frozen Food,30243.94,26197.12,171.54,863.36,45.77,1
Japan,2021,Grains & Cereals,3818.3300000000017,4240.41,59.44,97.08,36.57,0
Germany,2020,Grains & Cereals,35940.67,41777.45,65.48,904.28,60.65,1
Canada,2021,Beverages,4959.43,4817.5999999999985,155.89,774.03,43.28,0
UK,2020,Dairy Products,20329.78,17755.81,62.5,51.24,67.45,0
Argentina,2021,Grains & Cereals,44554.11,53406.23,169.72,666.78,51.47,1
South Korea,2022,Beverages,31835.4,33619.04,186.04,1085.21,40.81,1
Germany,2023,Beverages,35643.89,41185.44,65.93,1062.33,32.18,1
Spain,2019,Fruits & Vegetables,16133.76,15262.81,129.2,515.2,49.9,0
Italy,2021,Grains & Cereals,1709.1599999999999,1961.2999999999993,194.1,244.01,30.41,0
South Korea,2023,Fruits & Vegetables,41482.57,46333.09,121.92,244.71,61.46,1
Indonesia,2021,Fruits & Vegetables,46273.76,53925.1,65.3,536.6,48.94,1
China,2024,Fruits & Vegetables,31630.65,36217.51,181.08,270.32,56.04,1
Australia,2018,Frozen Food,3623.1899999999987,3779.2299999999996,164.96,1266.09,45.77,0
Australia,2018,Frozen Food,46482.1,55692.73999999999,112.9,235.89,35.11,1
South Korea,2024,Dairy Products,7654.239999999998,8374.5,40.54,850.74,60.9,0
South Korea,2020,Beverages,46944.56,50437.65,151.66,164.41,33.77,1
Argentina,2020,Prepared Food,8933.08,8058.580000000002,118.63,96.65,64.56,0
Germany,2021,Meat & Seafood,49843.31,53122.46,182.65,1184.54,34.76,1
Mexico,2021,Beverages,1504.0900000000001,1538.7700000000004,141.39,286.04,36.2,0
UK,2021,Frozen Food,47308.57,48088.55,86.74,839.06,60.22,1
India,2020,Meat & Seafood,27939.53,25519.13,85.87,1253.46,37.58,1
Spain,2018,Prepared Food,13854.47,15117.89,103.59,83.38,67.81,0
China,2018,Grains & Cereals,38417.13,34206.81,41.04,807.66,41.01,1
South Korea,2023,Frozen Food,38328.79,41982.15,32.63,785.91,57.74,1
Indonesia,2024,Dairy Products,42665.84,50088.64,158.69,661.13,47.57,1
Saudi Arabia,2022,Dairy Products,37587.48,37984.64,60.13,361.08,43.27,1
Canada,2018,Prepared Food,44840.34,52923.07,161.21,48.84,45.78,1
Italy,2020,Fruits & Vegetables,14928.8,16120.56,34.49,1182.34,48.13,0
Argentina,2019,Prepared Food,48827.14,47821.6,195.5,397.41,64.7,1
India,2023,Beverages,41053.02,45487.65,157.25,886.32,57.9,1
Japan,2022,Frozen Food,47284.74,54679.88,86.66,891.21,34.15,1
Brazil,2019,Frozen Food,21011.84,17190.44,179.55,253.71,34.29,0
Spain,2024,Fruits & Vegetables,47975.09,57145.28999999999,197.07,1192.25,37.85,1
USA,2021,Prepared Food,9749.6,8533.14,88.77,1321.24,49.88,0
China,2022,Frozen Food,19970.98,20997.66,100.95,180.09,57.56,0
Italy,2018,Bakery Items,28264.6,26586.74,131.87,734.56,38.27,1
Canada,2020,Beverages,14149.17,13279.14,39.32,775.43,44.02,0
Canada,2020,Fruits & Vegetables,16677.83,19617.08,150.27,225.48,39.84,0
Japan,2019,Bakery Items,33127.97,33984.19,116.88,396.48,37.8,1
Italy,2023,Grains & Cereals,49823.95,57142.479999999996,59.49,1028.07,64.88,1
France,2020,Frozen Food,35800.0,38746.59,63.99,1012.24,40.61,1
South Korea,2020,Meat & Seafood,39534.3,35806.77,29.72,1114.18,38.17,1
UK,2021,Beverages,44741.46,52445.59,54.59,960.74,64.43,1
Russia,2018,Meat & Seafood,5566.380000000001,6572.580000000002,177.5,113.24,48.79,0
China,2023,Frozen Food,47358.87,41016.65,172.4,829.62,34.05,1
Australia,2022,Prepared Food,6445.459999999999,6889.419999999998,168.41,300.61,45.14,0
Indonesia,2022,Prepared Food,10489.55,11668.87,116.66,1379.49,66.13,0
UK,2019,Bakery Items,27231.36,25786.68,164.63,735.45,59.54,1
Russia,2020,Dairy Products,20868.28,22147.11,176.22,932.41,53.02,0
India,2018,Meat & Seafood,48231.23,51550.44,63.65,1354.85,49.11,1
Japan,2020,Beverages,25634.29,28608.02,91.48,976.84,51.63,1
UK,2024,Dairy Products,47696.15,42730.6,29.76,1149.91,35.22,1
China,2019,Meat & Seafood,7525.200000000001,7500.459999999999,56.25,573.65,61.63,0
Spain,2022,Beverages,16295.06,15742.71,194.26,1005.63,32.61,0
South Korea,2019,Dairy Products,48254.61,55699.76000000001,47.58,1112.73,32.38,1
South Africa,2018,Meat & Seafood,9673.67,10064.78,140.33,977.59,40.76,0
Argentina,2024,Fruits & Vegetables,27091.6,29279.15,138.61,1150.97,46.48,1
Brazil,2021,Frozen Food,24720.56,27802.44,134.46,607.91,39.2,1
China,2021,Meat & Seafood,15173.36,16088.2,145.0,536.59,59.83,0
Saudi Arabia,2023,Frozen Food,16959.33,16228.69,62.9,515.74,58.05,0
Spain,2018,Fruits & Vegetables,22685.51,26055.96,116.34,306.19,31.21,0
Brazil,2024,Frozen Food,31823.4,32839.68,82.47,1080.81,57.03,1
Turkey,2020,Fruits & Vegetables,26312.28,28731.45,129.82,1184.85,59.89,1
South Korea,2024,Prepared Food,12463.29,14521.65,110.45,1200.44,64.35,0
USA,2019,Bakery Items,13335.53,15984.75,52.08,318.89,43.42,0
France,2023,Grains & Cereals,13851.18,11430.7,119.26,1157.56,52.12,0
USA,2024,Meat & Seafood,13285.19,14486.71,82.34,310.96,40.72,0
Argentina,2022,Dairy Products,11936.85,13402.52,137.37,74.28,63.35,0
Canada,2024,Fruits & Vegetables,28461.83,24132.13,86.06,1246.6,56.4,1
Mexico,2024,Prepared Food,32998.71,31325.02,49.89,868.78,59.66,1
China,2018,Fruits & Vegetables,18784.36,19388.71,80.73,123.56,62.07,0
China,2020,Bakery Items,11226.72,9121.44,166.54,42.39,60.61,0
France,2024,Fruits & Vegetables,39609.6,33231.19,64.46,855.57,46.09,1
Brazil,2020,Grains & Cereals,32669.75,37578.41,112.89,240.33,57.24,1
Spain,2020,Frozen Food,4595.080000000002,3780.959999999999,28.93,517.12,59.09,0
Indonesia,2020,Prepared Food,26344.41,21515.45,52.9,1322.82,35.15,0
Saudi Arabia,2023,Meat & Seafood,27318.34,25841.38,35.52,339.53,57.15,1
Russia,2023,Meat & Seafood,37886.84,41860.68,129.59,657.36,31.69,1
Indonesia,2024,Bakery Items,2225.09,1836.7599999999984,104.14,1157.3,62.86,0
Mexico,2022,Meat & Seafood,3703.66,3078.029999999999,160.61,657.65,36.48,0
Indonesia,2020,Frozen Food,41783.18,41756.91,139.1,1169.66,40.7,1
Brazil,2020,Prepared Food,44433.25,44849.49,150.83,1127.17,61.27,1
Spain,2018,Prepared Food,12950.96,11413.42,31.78,174.12,40.12,0
Germany,2019,Dairy Products,21322.29,21219.75,142.93,72.54,44.11,0
Indonesia,2022,Beverages,30712.33,35453.71,84.58,1152.47,47.68,1
France,2024,Dairy Products,10300.52,11104.21,62.1,1315.28,49.86,0
South Korea,2021,Grains & Cereals,29871.2,31874.06,58.5,849.27,58.85,1
South Korea,2021,Beverages,3774.4199999999983,4430.59,159.63,504.93,54.43,0
India,2019,Grains & Cereals,16766.0,18496.75,132.32,98.92,31.95,0
Japan,2019,Grains & Cereals,3285.8300000000017,2642.489999999998,30.27,1010.38,40.88,0
South Korea,2022,Dairy Products,30609.13,26741.35,87.04,231.66,42.59,1
Argentina,2019,Frozen Food,20490.36,18726.21,106.77,336.01,51.59,0
USA,2020,Beverages,36826.44,42048.9,150.4,516.02,55.32,1
Italy,2021,Meat & Seafood,12148.41,12962.53,113.06,423.76,66.6,0
Saudi Arabia,2019,Dairy Products,26723.91,22010.24,87.54,766.34,51.54,0
India,2021,Fruits & Vegetables,20385.31,21467.14,134.21,856.05,44.38,0
USA,2024,Prepared Food,9272.980000000001,10324.97,182.31,675.39,46.24,0
Australia,2021,Dairy Products,34325.04,33080.21,80.55,826.63,48.29,1
France,2018,Grains & Cereals,23329.02,19639.5,138.91,1303.16,65.34,0
Spain,2019,Frozen Food,27999.24,24345.31,35.5,321.39,41.14,1
India,2019,Fruits & Vegetables,10668.39,10113.76,78.36,709.22,42.08,0
China,2018,Frozen Food,6216.130000000001,7024.470000000001,129.81,800.63,34.28,0
Australia,2022,Meat & Seafood,25947.66,23899.18,48.07,469.91,62.42,0
South Africa,2019,Frozen Food,8209.84,7556.200000000001,21.33,420.85,41.05,0
Argentina,2022,Fruits & Vegetables,43281.08,38481.97,187.09,1109.48,30.44,1
Mexico,2021,Grains & Cereals,15742.16,17297.58,100.01,136.09,66.2,0
Russia,2020,Prepared Food,19747.12,19112.57,167.79,1170.0,40.15,0
Turkey,2024,Grains & Cereals,10668.1,9622.69,102.58,737.64,58.15,0
China,2019,Grains & Cereals,24674.19,28985.24,172.4,393.27,52.71,1
Argentina,2023,Grains & Cereals,8416.099999999999,6929.970000000001,126.12,830.43,66.51,0
Italy,2023,Bakery Items,5158.830000000002,5533.23,187.33,954.11,51.57,0
USA,2024,Dairy Products,2512.6800000000003,2273.25,183.28,820.54,67.48,0
Germany,2020,Fruits & Vegetables,41105.94,47590.19,54.75,720.5,37.33,1
Argentina,2021,Bakery Items,32589.23,36377.68,173.23,135.79,33.81,1
Brazil,2021,Bakery Items,19203.37,19148.46,174.87,1258.25,34.3,0
South Africa,2018,Fruits & Vegetables,48569.06,50526.39,111.18,775.09,30.09,1
Japan,2018,Beverages,23990.63,25812.35,158.8,628.05,57.98,0
Spain,2020,Grains & Cereals,31991.72,31110.65,89.08,304.88,59.68,1
Italy,2019,Prepared Food,3007.7700000000004,2560.489999999998,109.09,1312.13,39.5,0
Spain,2023,Bakery Items,26866.42,29648.63,171.62,1242.59,65.29,1
Turkey,2021,Fruits & Vegetables,41913.3,38652.18,30.71,82.09,66.0,1
South Korea,2018,Grains & Cereals,35789.49,40299.58,119.33,257.85,44.35,1
Italy,2021,Grains & Cereals,40825.3,44057.3,158.6,391.2,37.02,1
Mexico,2020,Frozen Food,33829.34,37634.44,58.46,964.99,54.42,1
Russia,2018,Grains & Cereals,33169.17,31095.77,88.57,797.67,30.79,1
India,2019,Frozen Food,40010.99,42792.66,87.37,831.94,37.69,1
UK,2019,Bakery Items,11188.67,9813.62,100.52,623.46,55.86,0
Mexico,2022,Meat & Seafood,49188.61,44353.01,164.75,659.02,63.83,1
Canada,2022,Dairy Products,8075.18,9515.000000000002,192.64,552.09,62.82,0
Canada,2023,Frozen Food,10961.77,12576.03,176.8,977.68,32.32,0
Brazil,2022,Bakery Items,37256.43,39190.01,38.82,1199.92,59.66,1
